millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	joy1_int	joy2_int
131012	654	189	746	644	180	120	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0	0
132411	818	609	746	644	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0
132445	1094	369	746	644	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0
132474	604	523	716	644	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0	0
132511	817	427	686	644	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0	0
132545	745	450	656	644	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0	0
132579	945	471	626	644	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0	0
132612	592	285	596	674	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132640	679	388	566	704	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132676	502	492	536	734	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132710	566	378	506	764	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132746	826	641	476	794	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132779	707	369	446	824	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132812	702	384	416	854	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132845	91	493	386	884	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132878	827	518	356	914	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132912	643	296	326	944	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0	0
132945	515	229	296	944	180	120	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0	0
